Link,Title,Description,Date
3dnews.ru/1080276/habbl-zapechatlel-kak-chyornaya-dira-prekratila-zvezdu-v-kosmicheskiy-ponchik,"«Хаббл» запечатлел, как чёрная дыра превратила звезду в «космический пончик» ","Первая лунная миссия Южной Кореи опубликовала потрясающее первое изображение с камеры ShadowCam, предназначенной для наблюдения за постоянно затенёнными областями вблизи лунных полюсов. Камера, разработка которой профинансирована NASA, предназначена для выявления областей, где солнечный свет никогда не попадает на лунную поверхность, и уже продемонстрировала беспрецедентное качество снимков на южном полюсе Луны. Фото должны помочь будущим исследованиям.",13.01.2023 17:57 
3dnews.ru/1080269/glava-nspk-zayavil-chto-problema-s-defitsitom-chipov-dlya-bankovskih-kart-v-rossii-reshena,"Проблема с дефицитом чипов для банковских карт в России решена, заявил глава НСПК ","В Соединённых Штатах Америки, начиная с раннего утра, все внутренние рейсы задерживаются из-за серьёзного сбоя компьютеров, отвечающих за работу системы оповещения Федерального авиационного управления (FAA), в результате чего не рассылаются важные уведомления о лётной обстановке и опасностях коммерческим пилотам.",13.01.2023 17:41 
3dnews.ru/1080267/virgin-orbit-sdelala-podrobnoe-zayavlenie-svyazannoe-s-provalom-puska-raketi-launcherone-v-velikobritanii,Virgin Orbit: первый в истории пуск из Великобритании провалился из-за преждевременного отключения двигателя второй ступени ,"Космический телескоп «Хаббл» запечатлел, как сверхмассивная чёрная дыра разрушила оказавшуюся слишком близко звезду. В результате остатки звезды образовали огромное кольцо в форме тора или пончика вокруг чёрной дыры и теперь будут постепенно поглощаться ею в сопровождении интенсивного излучения.",13.01.2023 17:38 
3dnews.ru/1080268/cooler-master-pokazala-na-ces-2023-mnogestvo-blokov-pitaniya-standarta-atx-30-osnashchyonnih-124kontaktnim-razyomom-12vhpwr,Cooler Master показала множество блоков питания стандарта ATX 3.0 с 12+4-контактными разъёмами 12VHPWR ,"В Virgin Orbit поделились подробностями неудачи, постигшей первую из орбитальных миссий компании на территории Великобритании. Анализ телеметрии упавшей в море 9 января ракеты свидетельствует о преждевременном прекращении работы двигателя второй ступени, но команда компании полна решимости продолжать реализацию проектов в стране.",13.01.2023 17:11 
3dnews.ru/1080262/galax-predstavila-videokartu-geforce-rtx-4070-ti-hof-dlya-ekstremalnogo-razgona,Galax представила видеокарту GeForce RTX 4070 Ti HOF для экстремального разгона ,"Компания Cooler Master привезла на выставку CES 2023 множество новых блоков питания, которые выйдут на рынок в составе обновлённых серий GX III, V Gold, V SFX Gold и V SFX Platinum с поддержкой новых стандартов ATX 3.0 и PCIe 5.0. О новинках рассказал портал TechPowerUp, журналисты которого посетили стенд производителя.",13.01.2023 15:50 
3dnews.ru/1080260/issledovanie-which-pokazalo-chto-vedushchie-brendi-prekrashchayut-poddergku-umnoy-elektroniki-i-tehniki-vsego-cherez-dva-goda,Многие бренды прекращают программную поддержку умной электроники и техники всего через два года ,"Компания Galax представила видеокарту GeForce RTX 4070 Ti HOF. Основное преимущество новой модели заключается в её функциях, предназначенных для ручного разгона, в том числе экстремального. При это из коробки н",13.01.2023 15:22 
3dnews.ru/1080259/spacex-poshla-na-ustupki-astronomam-no-borba-za-tyomnoe-nochnoe-nebo-ne-okonchena,"SpaceX пошла на уступки, чтобы уменьшить влияние спутников Starlink на астрономию ",MSI GeForce RTX 4070 Ti Suprim X,13.01.2023 14:47 
3dnews.ru/1080255/spacex-starship,"SpaceX показала корабль Starship на ракете Super Heavy, а Airbus сняла их из космоса ","Как показал опрос ведущих вендоров, проведённый британской компанией Which?, которая занимается защитой прав потребителей, многие производители прекращают программную поддержку смартфонов, телевизоров, умных стиральных машин и прочей бытовой техники и электроники в течение всего двух лет.",13.01.2023 14:32 
3dnews.ru/1080251/iz-zabroshennih-shaht-mogno-sdelat-gravitatsionnie-batarei-predlogili-uchyonie,Из заброшенных шахт учёные предложили сделать гравитационные аккумуляторы ,"Астрономы всего мира бьют тревогу, требуя от властей как-то повлиять на развёртывание на низкой орбите многотысячных спутниковых группировок. Лидирует на этом направлении компания SpaceX с сервисом Starlink. В декабре компания получила разрешение на вывод в космос 7,5 тыс. спутников второго поколения в дополнение к уже имеющимся более чем 3,5 тыс. Как стало известно, SpaceX добровольно пошла на некоторые уступки астрономам, хотя этим оказались довольны не все.",13.01.2023 13:27 
3dnews.ru/1080250/kitayskoe-pravitelstvo-sobiraetsya-kupit-zolotie-aktsii-alibaba-i-tencent,"Власти Китая собираются купить золотые акции Alibaba и Tencent, и это скорее хорошо, чем плохо ",Американская аэрокосмическая SpaceX ведёт подготовку к первому в истории орбитальному испытательному полёту корабля Starship. На этой неделе на стартовой площадке космодрома Starbase в Южном Техасе был установлен прототип сверхтяжёлой ракеты-носителя под названием Booster 7 с прототипом космического корабля Starship — Ship 24 (S24).,13.01.2023 13:07 
